,Photo produit 1,Photo produit 2,Nom produit,Lien achat,Catégorie produit,Genre,cielab_colors
78,https://wasted.fr/cdn/shop/products/funnel-chad-419802_2048x2048.jpg?v=1706147707,-,Funnel Chad,https://wasted.fr/collections/hoodies-sweats-2/products/funnel-chad,Hoodie,H/F,"[85.09803921568627, 0.0, 0.0]"
79,https://wasted.fr/cdn/shop/products/funnel-chad-784292_2048x2048.jpg?v=1706147711,-,Funnel Chad,https://wasted.fr/collections/hoodies-sweats-2/products/funnel-chad-1,Hoodie,H/F,"[6.666666666666667, 0.0, 0.0]"
80,https://wasted.fr/cdn/shop/products/funnel-pitcher-239461_2048x2048.jpg?v=1706147707,-,Funnel Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/funnel-pitcher-4,Hoodie,H/F,"[81.17647058823529, 1.0, 5.0]"
81,https://wasted.fr/cdn/shop/products/hoodie-pitcher-465635_2048x2048.jpg?v=1706147711,-,Hoodie Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-pitcher,Hoodie,H/F,"[10.980392156862745, 0.0, 0.0]"
82,https://wasted.fr/cdn/shop/products/hoodie-pitcher-465635_2048x2048.jpg?v=1706147711,-,Hoodie Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-pitcher,Hoodie,H/F,"[5.88235294117647, 0.0, 0.0]"
83,https://wasted.fr/cdn/shop/products/hoodie-creep-229045_2048x2048.jpg?v=1706147706,-,Hoodie Creep,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-creep,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
84,https://wasted.fr/cdn/shop/products/hoodie-telly-wire-577638_2048x2048.jpg?v=1706147702,-,Hoodie Telly Wire,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-telly-wire,Hoodie,H/F,"[7.0588235294117645, 0.0, 0.0]"
85,https://wasted.fr/cdn/shop/products/hoodie-zip-blind-199829_2048x2048.jpg?v=1706147806,-,Hoodie Zip Blind,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-blind,Hoodie,H/F,"[9.019607843137255, 0.0, 0.0]"
86,https://wasted.fr/cdn/shop/products/hoodie-zip-dark-pitcher-732726_2048x2048.jpg?v=1706147806,-,Hoodie Zip Dark Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-dark-pitcher-3,Hoodie,H/F,"[82.35294117647058, 0.0, 0.0]"
87,https://wasted.fr/cdn/shop/products/hoodie-zip-dark-pitcher-659420_2048x2048.jpg?v=1706147805,-,Hoodie Zip Dark Pitcher,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-dark-pitcher-4,Hoodie,H/F,"[10.588235294117647, 0.0, -1.0]"
88,https://wasted.fr/cdn/shop/files/hoodie-zip-kingdom-905820_2048x2048.jpg?v=1711618133,-,Hoodie Zip Kingdom,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-kingdom-3,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
89,https://wasted.fr/cdn/shop/files/hoodie-full-zip-mercy-101785_2048x2048.jpg?v=1711618134,-,Hoodie Full Zip Mercy,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-full-zip-mercy,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
90,https://wasted.fr/cdn/shop/files/hoodie-full-zip-mercy-312000_2048x2048.jpg?v=1711618134,-,Hoodie Full Zip Mercy,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-full-zip-mercy-1,Hoodie,H/F,"[90.98039215686275, 0.0, 0.0]"
91,https://wasted.fr/cdn/shop/files/hoodie-zip-kingdom-158179_2048x2048.jpg?v=1713359069,-,Hoodie Zip Kingdom,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-kingdom-5,Hoodie,H/F,"[76.86274509803923, 2.0, 10.0]"
92,https://wasted.fr/cdn/shop/files/crewneck-negative-617699_2048x2048.jpg?v=1712661665,-,Crewneck Negative,https://wasted.fr/collections/hoodies-sweats-2/products/crewneck-negative,Hoodie,H/F,"[77.64705882352942, 0.0, 0.0]"
93,https://wasted.fr/cdn/shop/files/crewneck-negative-617699_2048x2048.jpg?v=1712661665,-,Crewneck Negative,https://wasted.fr/collections/hoodies-sweats-2/products/crewneck-negative,Hoodie,H/F,"[83.13725490196079, 0.0, 0.0]"
94,https://wasted.fr/cdn/shop/files/hoodie-atrax-295084_2048x2048.jpg?v=1712661664,-,Hoodie Atrax,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-atrax,Hoodie,H/F,"[18.823529411764707, 1.0, -1.0]"
95,https://wasted.fr/cdn/shop/files/hoodie-atrax-295084_2048x2048.jpg?v=1712661664,-,Hoodie Atrax,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-atrax,Hoodie,H/F,"[12.156862745098039, 1.0, -2.0]"
